,Draft Position,Name,POS,TEAM,fp_pts,nfl_pts,espn_pts,fs_pts,si_pts,pts,kde_icdf
0,1.0,Patrick Mahomes, QB, KC,292.04,348.33,336.1,407.0,424.9,361.92469268267985,"[292.04       292.04       292.04       292.04       292.04
 292.04       293.65853061 298.33428571 303.01004082 307.68579592
 312.36155102 317.03730612 321.71306122 326.38881633 331.06457143
 335.74032653 337.29804082 338.59591837 339.89379592 341.19167347
 342.48955102 343.78742857 345.08530612 346.38318367 347.68106122
 351.44310204 357.66930612 363.8955102  370.12171429 376.34791837
 382.57412245 388.80032653 395.02653061 401.25273469 407.14612245
 409.04571429 410.94530612 412.84489796 414.7444898  416.64408163
 418.54367347 420.44326531 422.34285714 424.24244898 424.9
 424.9        424.9        424.9        424.9        424.9       ]"
1,2.0,Lamar Jackson, QB,Bal,421.68,366.23,338.5,425.0,391.0,393.5241157843139,"[338.5        338.5        338.5        338.5        338.5
 338.5        339.51865306 342.46142857 345.40420408 348.34697959
 351.2897551  354.23253061 357.17530612 360.11808163 363.06085714
 366.00363265 368.65644898 371.28510204 373.9137551  376.54240816
 379.17106122 381.79971429 384.42836735 387.05702041 389.68567347
 392.62791837 395.8837551  399.13959184 402.39542857 405.65126531
 408.90710204 412.16293878 415.41877551 418.67461224 421.70710204
 422.05942857 422.4117551  422.76408163 423.11640816 423.46873469
 423.82106122 424.17338776 424.52571429 424.87804082 425.
 425.         425.         425.         425.         425.        ]"
2,3.0,Dak Prescott, QB,Dal,348.78,304.36,301.5,373.0,386.8,346.5757782324953,"[301.5        301.5        301.5        301.5        301.5
 301.5        301.60506122 301.90857143 302.21208163 302.51559184
 302.81910204 303.12261224 303.42612245 303.72963265 304.03314286
 304.33665306 308.71134694 313.42530612 318.13926531 322.85322449
 327.56718367 332.28114286 336.99510204 341.70906122 346.42302041
 350.06514286 352.63542857 355.20571429 357.776      360.34628571
 362.91657143 365.48685714 368.05714286 370.62742857 373.11265306
 374.57714286 376.04163265 377.50612245 378.97061224 380.43510204
 381.89959184 383.36408163 384.82857143 386.29306122 386.8
 386.8        386.8        386.8        386.8        386.8       ]"
3,4.0,Russell Wilson, QB,Sea,333.6,309.06,293.9,352.0,354.6,332.66249343786717,"[293.9        293.9        293.9        293.9        293.9
 293.9        294.45689796 296.06571429 297.67453061 299.28334694
 300.89216327 302.50097959 304.10979592 305.71861224 307.32742857
 308.9362449  311.46391837 314.06816327 316.67240816 319.27665306
 321.88089796 324.48514286 327.08938776 329.69363265 332.29787755
 334.57632653 336.52897959 338.48163265 340.43428571 342.38693878
 344.33959184 346.2922449  348.24489796 350.19755102 352.02122449
 352.29714286 352.57306122 352.84897959 353.12489796 353.40081633
 353.67673469 353.95265306 354.22857143 354.5044898  354.6
 354.6        354.6        354.6        354.6        354.6       ]"
4,5.0,Kyler Murray, QB,Ari,297.28,291.92,299.5,301.0,381.3,300.8340300000112,"[291.92       291.92       291.92       291.92       291.92
 291.92       292.11689796 292.68571429 293.25453061 293.82334694
 294.39216327 294.96097959 295.52979592 296.09861224 296.66742857
 297.2362449  297.49746939 297.73306122 297.96865306 298.2042449
 298.43983673 298.67542857 298.91102041 299.14661224 299.38220408
 299.57959184 299.73877551 299.89795918 300.05714286 300.21632653
 300.3755102  300.53469388 300.69387755 300.85306122 301.6555102
 310.17714286 318.69877551 327.22040816 335.74204082 344.26367347
 352.78530612 361.30693878 369.82857143 378.35020408 381.3
 381.3        381.3        381.3        381.3        381.3       ]"
5,6.0,Deshaun Watson, QB,Hou,331.98,327.2,314.5,384.0,358.3,341.10053945030967,"[314.5        314.5        314.5        314.5        314.5
 314.5        314.96653061 316.31428571 317.66204082 319.00979592
 320.35755102 321.70530612 323.05306122 324.40081633 325.74857143
 327.09632653 327.6682449  328.1755102  328.68277551 329.19004082
 329.69730612 330.20457143 330.71183673 331.21910204 331.72636735
 333.37657143 336.16971429 338.96285714 341.756      344.54914286
 347.34228571 350.13542857 352.92857143 355.72171429 358.50979592
 361.23714286 363.9644898  366.69183673 369.41918367 372.14653061
 374.87387755 377.60122449 380.32857143 383.05591837 384.
 384.         384.         384.         384.         384.        ]"
6,7.0,Carson Wentz, QB,Phi,282.86,272.27,267.0,310.0,323.5,290.57940583551726,"[267.         267.         267.         267.         267.
 267.         267.19359184 267.75285714 268.31212245 268.87138776
 269.43065306 269.98991837 270.54918367 271.10844898 271.66771429
 272.22697959 273.30738776 274.43122449 275.55506122 276.67889796
 277.80273469 278.92657143 280.05040816 281.1742449  282.29808163
 284.30008163 287.1802449  290.06040816 292.94057143 295.82073469
 298.70089796 301.58106122 304.46122449 307.34138776 310.11020408
 311.54285714 312.9755102  314.40816327 315.84081633 317.27346939
 318.70612245 320.13877551 321.57142857 323.00408163 323.5
 323.5        323.5        323.5        323.5        323.5       ]"
7,8.0,Josh Allen, QB,Buf,297.56,285.61,272.0,318.0,336.2,302.4859993657039,"[272.         272.         272.         272.         272.
 272.         272.49995918 273.94428571 275.38861224 276.83293878
 278.27726531 279.72159184 281.16591837 282.6102449  284.05457143
 285.49889796 286.78061224 288.04877551 289.31693878 290.58510204
 291.85326531 293.12142857 294.38959184 295.6577551  296.92591837
 298.64457143 300.81371429 302.98285714 305.152      307.32114286
 309.49028571 311.65942857 313.82857143 315.99771429 318.14857143
 320.08       322.01142857 323.94285714 325.87428571 327.80571429
 329.73714286 331.66857143 333.6        335.53142857 336.2
 336.2        336.2        336.2        336.2        336.2       ]"
8,9.0,Cam Newton, QB, NE,17.68,271.96,215.7,279.0,312.6,257.9240276858738,"[ 17.68        17.68        17.68        17.68        17.68
  17.68        24.95420408  45.96857143  66.98293878  87.99730612
 109.01167347 130.02604082 151.04040816 172.05477551 193.06914286
 214.0835102  221.21118367 227.18163265 233.15208163 239.12253061
 245.09297959 251.06342857 257.03387755 263.00432653 268.97477551
 272.33355102 273.08065306 273.8277551  274.57485714 275.32195918
 276.06906122 276.81616327 277.56326531 278.31036735 279.27428571
 282.84       286.40571429 289.97142857 293.53714286 297.10285714
 300.66857143 304.23428571 307.8        311.36571429 312.6
 312.6        312.6        312.6        312.6        312.6       ]"
9,10.0,Matt Ryan, QB,Atl,281.34,305.57,282.3,309.0,347.1,303.989725092182,"[281.34       281.34       281.34       281.34       281.34
 281.34       281.37526531 281.47714286 281.57902041 281.68089796
 281.78277551 281.88465306 281.98653061 282.08840816 282.19028571
 282.29216327 284.5795102  287.04897959 289.51844898 291.98791837
 294.45738776 296.92685714 299.39632653 301.86579592 304.33526531
 305.752      306.116      306.48       306.844      307.208
 307.572      307.936      308.3        308.664      309.31102041
 313.35428571 317.39755102 321.44081633 325.48408163 329.52734694
 333.57061224 337.61387755 341.65714286 345.70040816 347.1
 347.1        347.1        347.1        347.1        347.1       ]"
