,Draft Position,Name,POS,fp_pts,nfl_pts,fs_pts,pts,kde_icdf
0,1.0,Patrick Mahomes,QB,440.7,378.3,434.0,427.7573522456468,"[378.3        378.3        378.3        378.3        378.3
 378.3        378.3        378.3        378.3        378.3
 381.2555102  384.89306122 388.53061224 392.16816327 395.80571429
 399.44326531 403.08081633 406.71836735 410.35591837 413.99346939
 417.63102041 421.26857143 424.90612245 428.54367347 432.18122449
 434.21877551 434.65632653 435.09387755 435.53142857 435.96897959
 436.40653061 436.84408163 437.28163265 437.71918367 438.15673469
 438.59428571 439.03183673 439.46938776 439.90693878 440.3444898
 440.7        440.7        440.7        440.7        440.7
 440.7        440.7        440.7        440.7        440.7       ]"
1,2.0,Josh Allen,QB,421.8,382.21,414.0,411.48238516702565,"[382.21       382.21       382.21       382.21       382.21
 382.21       382.21       382.21       382.21       382.21
 383.89681633 385.97289796 388.04897959 390.12506122 392.20114286
 394.27722449 396.35330612 398.42938776 400.50546939 402.58155102
 404.65763265 406.73371429 408.80979592 410.88587755 412.96195918
 414.25469388 414.76408163 415.27346939 415.78285714 416.2922449
 416.80163265 417.31102041 417.82040816 418.32979592 418.83918367
 419.34857143 419.85795918 420.36734694 420.87673469 421.38612245
 421.8        421.8        421.8        421.8        421.8
 421.8        421.8        421.8        421.8        421.8       ]"
2,3.0,Kyler Murray,QB,418.3,365.48,399.0,398.9147184266832,"[365.48       365.48       365.48       365.48       365.48
 365.48       365.48       365.48       365.48       365.48
 367.25861224 369.44767347 371.63673469 373.82579592 376.01485714
 378.20391837 380.39297959 382.58204082 384.77110204 386.96016327
 389.14922449 391.33828571 393.52734694 395.71640816 397.90546939
 399.63020408 400.89061224 402.15102041 403.41142857 404.67183673
 405.9322449  407.19265306 408.45306122 409.71346939 410.97387755
 412.23428571 413.49469388 414.75510204 416.0155102  417.27591837
 418.3        418.3        418.3        418.3        418.3
 418.3        418.3        418.3        418.3        418.3       ]"
3,4.0,Russell Wilson,QB,409.1,344.73,399.0,392.3244287244618,"[344.73       344.73       344.73       344.73       344.73
 344.73       344.73       344.73       344.73       344.73
 347.60963265 351.15379592 354.69795918 358.24212245 361.78628571
 365.33044898 368.87461224 372.41877551 375.96293878 379.50710204
 383.05126531 386.59542857 390.13959184 393.6837551  397.22791837
 399.32979592 399.98938776 400.64897959 401.30857143 401.96816327
 402.6277551  403.28734694 403.94693878 404.60653061 405.26612245
 405.92571429 406.58530612 407.24489796 407.9044898  408.56408163
 409.1        409.1        409.1        409.1        409.1
 409.1        409.1        409.1        409.1        409.1       ]"
4,5.0,Dak Prescott,QB,412.6,345.96,359.0,366.8722353211694,"[345.96       345.96       345.96       345.96       345.96
 345.96       345.96       345.96       345.96       345.96
 346.65191837 347.5035102  348.35510204 349.20669388 350.05828571
 350.90987755 351.76146939 352.61306122 353.46465306 354.3162449
 355.16783673 356.01942857 356.87102041 357.72261224 358.57420408
 360.75020408 364.25061224 367.75102041 371.25142857 374.75183673
 378.2522449  381.75265306 385.25306122 388.75346939 392.25387755
 395.75428571 399.25469388 402.75510204 406.2555102  409.75591837
 412.6        412.6        412.6        412.6        412.6
 412.6        412.6        412.6        412.6        412.6       ]"
5,6.0,Lamar Jackson,QB,405.8,354.43,423.0,401.4821132056935,"[354.43       354.43       354.43       354.43       354.43
 354.43       354.43       354.43       354.43       354.43
 357.1557551  360.51053061 363.86530612 367.22008163 370.57485714
 373.92963265 377.28440816 380.63918367 383.99395918 387.34873469
 390.7035102  394.05828571 397.41306122 400.76783673 404.12261224
 406.36163265 407.48489796 408.60816327 409.73142857 410.85469388
 411.97795918 413.10122449 414.2244898  415.3477551  416.47102041
 417.59428571 418.71755102 419.84081633 420.96408163 422.08734694
 423.         423.         423.         423.         423.
 423.         423.         423.         423.         423.        ]"
6,7.0,Justin Herbert,QB,382.8,344.33,375.0,372.7742702039777,"[344.33       344.33       344.33       344.33       344.33
 344.33       344.33       344.33       344.33       344.33
 345.95738776 347.96032653 349.96326531 351.96620408 353.96914286
 355.97208163 357.97502041 359.97795918 361.98089796 363.98383673
 365.98677551 367.98971429 369.99265306 371.99559184 373.99853061
 375.25469388 375.76408163 376.27346939 376.78285714 377.2922449
 377.80163265 378.31102041 378.82040816 379.32979592 379.83918367
 380.34857143 380.85795918 381.36734694 381.87673469 382.38612245
 382.8        382.8        382.8        382.8        382.8
 382.8        382.8        382.8        382.8        382.8       ]"
7,8.0,Aaron Rodgers,QB,377.5,365.52,381.0,376.96573181069857,"[365.52       365.52       365.52       365.52       365.52
 365.52       365.52       365.52       365.52       365.52
 366.15567347 366.93804082 367.72040816 368.50277551 369.28514286
 370.0675102  370.84987755 371.6322449  372.41461224 373.19697959
 373.97934694 374.76171429 375.54408163 376.32644898 377.10881633
 377.61428571 377.84285714 378.07142857 378.3        378.52857143
 378.75714286 378.98571429 379.21428571 379.44285714 379.67142857
 379.9        380.12857143 380.35714286 380.58571429 380.81428571
 381.         381.         381.         381.         381.
 381.         381.         381.         381.         381.        ]"
8,9.0,Ryan Tannehill,QB,339.7,341.89,349.0,343.1131601407014,"[339.7        339.7        339.7        339.7        339.7
 339.7        339.7        339.7        339.7        339.7
 339.81620408 339.95922449 340.1022449  340.24526531 340.38828571
 340.53130612 340.67432653 340.81734694 340.96036735 341.10338776
 341.24640816 341.38942857 341.53244898 341.67546939 341.8184898
 342.12216327 342.5864898  343.05081633 343.51514286 343.97946939
 344.44379592 344.90812245 345.37244898 345.83677551 346.30110204
 346.76542857 347.2297551  347.69408163 348.15840816 348.62273469
 349.         349.         349.         349.         349.
 349.         349.         349.         349.         349.        ]"
9,10.0,Jalen Hurts,QB,366.1,309.66,329.0,333.3763069897539,"[309.66       309.66       309.66       309.66       309.66
 309.66       309.66       309.66       309.66       309.66
 310.68620408 311.94922449 313.2122449  314.47526531 315.73828571
 317.00130612 318.26432653 319.52734694 320.79036735 322.05338776
 323.31640816 324.57942857 325.84244898 327.10546939 328.3684898
 330.21142857 332.63428571 335.05714286 337.48       339.90285714
 342.32571429 344.74857143 347.17142857 349.59428571 352.01714286
 354.44       356.86285714 359.28571429 361.70857143 364.13142857
 366.1        366.1        366.1        366.1        366.1
 366.1        366.1        366.1        366.1        366.1       ]"
